# gapseq version: 1.2 0d0123e
# Transporter sequence DB md5sum: b99a77e (2022-02-04)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|V6HIG4|1.A.78.2.2	1.A.78.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|V6HIG4|1.A.78.2.2	30.519	6.27e-17	71.6	75	WP_223899757.1 TMEM175 family protein [Streptococcus thermophilus]	11	158	transporter
gnl|TC-DB|K9UKU9|1.A.78.2.9	1.A.78.2.9	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|K9UKU9|1.A.78.2.9	29.293	1.45e-16	70.5	99	WP_223899757.1 TMEM175 family protein [Streptococcus thermophilus]	11	203	transporter
gnl|TC-DB|Q41951|1.A.8.10.10	1.A.8.10.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q41951|1.A.8.10.10	27.437	4.54e-10	54.3	89	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	6	277	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	23.958	0.027	30.8	91	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	6	287	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	25.632	9.63e-13	62.8	89	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	10	285	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	26.038	1.19e-11	59.3	75	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	13	272	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	24.199	2.98e-08	49.7	77	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	9	285	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	24.742	4.66e-10	54.3	99	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	1	285	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	23.592	5.70e-11	57.0	96	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	16	285	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	24.074	8.21e-11	56.2	97	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	16	285	transporter
gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	37.269	1.02e-47	156	85	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	16	285	transporter
gnl|TC-DB|ABT13584.1|1.A.8.2.10	1.A.8.2.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ABT13584.1|1.A.8.2.10	29.720	1.02e-28	106	96	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	10	283	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	55.903	1.34e-105	305	99	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	13	287	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	29.963	1.04e-15	70.5	93	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	18	277	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	29.710	1.93e-22	89.0	97	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	16	286	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	30.943	3.89e-27	101	95	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	17	278	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	37.132	5.87e-45	148	97	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	15	285	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	44.366	1.33e-75	227	99	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	9	286	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	31.522	5.47e-25	95.9	97	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	16	286	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	34.409	4.18e-41	138	98	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	16	282	transporter
gnl|TC-DB|XP_014257049.1|1.A.8.8.27	1.A.8.8.27	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|XP_014257049.1|1.A.8.8.27	25.746	6.17e-09	51.2	78	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	17	282	transporter
gnl|TC-DB|P47862|1.A.8.9.1	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P47862|1.A.8.9.1	31.183	6.07e-27	102	83	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	14	285	transporter
gnl|TC-DB|806392255|1.A.8.9.10	1.A.8.9.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|806392255|1.A.8.9.10	28.223	3.20e-20	84.3	84	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	6	282	transporter
gnl|TC-DB|Q8WPZ6|1.A.8.9.13	1.A.8.9.13	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8WPZ6|1.A.8.9.13	27.881	2.84e-25	97.4	89	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	9	277	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.14	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	27.007	1.76e-19	82.4	81	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	5	277	transporter
gnl|TC-DB|Q388I5|1.A.8.9.19	1.A.8.9.19	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q388I5|1.A.8.9.19	26.119	2.12e-13	65.1	75	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	16	283	transporter
gnl|TC-DB|Q6ZXT2|1.A.8.9.21	1.A.8.9.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT2|1.A.8.9.21	30.741	8.25e-24	94.4	77	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	16	283	transporter
gnl|TC-DB|Q6ZXT2|1.A.8.9.21	1.A.8.9.21	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT2|1.A.8.9.21	30.741	8.25e-24	94.4	77	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	16	283	transporter
gnl|TC-DB|Q6Q1Q6|1.A.8.9.3	1.A.8.9.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6Q1Q6|1.A.8.9.3	28.014	2.31e-26	100	89	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	9	282	transporter
gnl|TC-DB|Q6Q1Q6|1.A.8.9.3	1.A.8.9.3	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q6Q1Q6|1.A.8.9.3	28.014	2.31e-26	100	89	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	9	282	transporter
gnl|TC-DB|F6QEC2|1.A.8.9.9	1.A.8.9.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|F6QEC2|1.A.8.9.9	31.408	4.66e-25	97.4	84	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	6	282	transporter
gnl|TC-DB|O95166|1.A.9.5.2	1.A.9.5.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O95166|1.A.9.5.2	28.431	0.22	26.2	83	WP_084829069.1 amino acid ABC transporter ATP-binding protein [Streptococcus thermophilus]	82	177	transporter
gnl|TC-DB|P71469|1.C.29.1.1	1.C.29.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71469|1.C.29.1.1	30.769	0.47	23.1	75	WP_002948588.1 redox-regulated ATPase YchF [Streptococcus thermophilus]	69	107	transporter
gnl|TC-DB|P71461|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71461|1.C.30.1.1	25.000	3.4	20.8	80	WP_064355864.1 2-isopropylmalate synthase [Streptococcus thermophilus]	260	303	transporter
gnl|TC-DB|Q8TDX7|1.I.1.1.3	1.I.1.1.3	Potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q8TDX7|1.I.1.1.3	31.878	9.53e-31	117	75	WP_084826071.1 Stk1 family PASTA domain-containing Ser/Thr kinase [Streptococcus thermophilus]	12	231	transporter
gnl|TC-DB|A8ANM6|2.A.104.1.1	2.A.104.1.1	alanine	EX_cpd00035_e0	rxn05215,rxn05496,rxn08101,rxn08102,rxn34464,rxn34465,rxn34485,rxn34486	gnl|TC-DB|A8ANM6|2.A.104.1.1	21.678	4.6	23.1	91	WP_111679525.1 permease [Streptococcus thermophilus]	22	161	transporter
gnl|TC-DB|WP_100324686.1|2.A.107.1.4	2.A.107.1.4	manganese	EX_cpd00030_e0	rxn05618,rxn08946,rxn08951,rxn05149,rxn08947	gnl|TC-DB|WP_100324686.1|2.A.107.1.4	27.389	9.1	22.7	82	WP_111679744.1 preprotein translocase subunit SecY [Streptococcus thermophilus]	152	300	transporter
gnl|TC-DB|P31545|2.A.108.2.3	2.A.108.2.3	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|P31545|2.A.108.2.3	38.667	1.35e-74	234	88	WP_014608310.1 iron uptake transporter deferrochelatase/peroxidase subunit [Streptococcus thermophilus]	52	400	transporter
gnl|TC-DB|P31545|2.A.108.2.3	2.A.108.2.3	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|P31545|2.A.108.2.3	38.667	1.35e-74	234	88	WP_014608310.1 iron uptake transporter deferrochelatase/peroxidase subunit [Streptococcus thermophilus]	52	400	transporter
gnl|TC-DB|P39595|2.A.108.2.5	2.A.108.2.5	iron	EX_cpd10515_e0	rxn08473,rxn08474,rxn12504,rxn29259,rxn08476,rxn10963,rxn13286,rxn33142,rxn34369	gnl|TC-DB|P39595|2.A.108.2.5	26.949	5.96e-56	191	91	WP_111679599.1 FTR1 family iron permease [Streptococcus thermophilus]	126	560	transporter
gnl|TC-DB|P39595|2.A.108.2.5	2.A.108.2.5	iron	EX_cpd10516_e0	rxn29260	gnl|TC-DB|P39595|2.A.108.2.5	26.949	5.96e-56	191	91	WP_111679599.1 FTR1 family iron permease [Streptococcus thermophilus]	126	560	transporter
UniRef90_A0A6C9EHW0|2.A.1.11.1	2.A.1.11.1	formate	EX_cpd00047_e0	rxn05559,rxn08524,rxn10860,rxn12422,rxn34214,rxn34215,rxn34216,rxn34459	UniRef90_A0A6C9EHW0|2.A.1.11.1	34.005	4.96e-55	183	94	WP_100262689.1 OFA family MFS transporter [Streptococcus thermophilus]	14	387	transporter
UniRef90_A0A6C9EHW0|2.A.1.11.1	2.A.1.11.1	FORMATE	EX_cpd00047_e0	rxn05559,rxn08524,rxn10860,rxn12422,rxn34214,rxn34215,rxn34216,rxn34459	UniRef90_A0A6C9EHW0|2.A.1.11.1	34.005	4.96e-55	183	94	WP_100262689.1 OFA family MFS transporter [Streptococcus thermophilus]	14	387	transporter
gnl|TC-DB|P37662|2.A.1.11.3	2.A.1.11.3	pyruvate	EX_cpd00020_e0	rxn05469,rxn09217,rxn09717,rxn09832	gnl|TC-DB|P37662|2.A.1.11.3	26.633	1.61e-32	122	96	WP_100262689.1 OFA family MFS transporter [Streptococcus thermophilus]	4	397	transporter
gnl|TC-DB|P64534|2.A.113.1.1	2.A.113.1.1	cobalt	EX_cpd00149_e0	rxn08240,rxn13681,rxn08242,rxn10474	gnl|TC-DB|P64534|2.A.113.1.1	24.348	0.36	25.8	96	WP_100262197.1 bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU [Streptococcus thermophilus]	278	389	transporter
gnl|TC-DB|P64534|2.A.113.1.1	2.A.113.1.1	nickel	EX_cpd00244_e0	rxn08990,rxn08992,rxn10581,rxn13730	gnl|TC-DB|P64534|2.A.113.1.1	24.348	0.36	25.8	96	WP_100262197.1 bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU [Streptococcus thermophilus]	278	389	transporter
gnl|TC-DB|P42237|2.A.1.14.1	2.A.1.14.1	biotin	EX_cpd00104_e0	rxn09693	gnl|TC-DB|P42237|2.A.1.14.1	20.580	0.083	30.8	75	WP_100262689.1 OFA family MFS transporter [Streptococcus thermophilus]	63	375	transporter
gnl|TC-DB|P42237|2.A.1.14.1	2.A.1.14.1	chloride	EX_cpd00099_e0	rxn08233,rxn30474	gnl|TC-DB|P42237|2.A.1.14.1	20.580	0.083	30.8	75	WP_100262689.1 OFA family MFS transporter [Streptococcus thermophilus]	63	375	transporter
gnl|TC-DB|P42237|2.A.1.14.1	2.A.1.14.1	glutamate	EX_cpd00023_e0	rxn05297,rxn05298,rxn08631,rxn08632,rxn09751,rxn09813,rxn12370,rxn13303,rxn29048,rxn29068,rxn34103,rxn34377,rxn34378,rxn34501,rxn10917,rxn11235,rxn13304,rxn29088,rxn31191	gnl|TC-DB|P42237|2.A.1.14.1	20.580	0.083	30.8	75	WP_100262689.1 OFA family MFS transporter [Streptococcus thermophilus]	63	375	transporter
gnl|TC-DB|P42237|2.A.1.14.1	2.A.1.14.1	pantothenate	EX_cpd00644_e0	rxn05308,rxn09165,rxn10180	gnl|TC-DB|P42237|2.A.1.14.1	20.580	0.083	30.8	75	WP_100262689.1 OFA family MFS transporter [Streptococcus thermophilus]	63	375	transporter
gnl|TC-DB|P42237|2.A.1.14.1	2.A.1.14.1	phosphate	EX_cpd00009_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|TC-DB|P42237|2.A.1.14.1	20.580	0.083	30.8	75	WP_100262689.1 OFA family MFS transporter [Streptococcus thermophilus]	63	375	transporter
gnl|TC-DB|Q51955|2.A.1.15.1	2.A.1.15.1	4-hydroxybenzoate	EX_cpd00136_e0	rxn12433,rxn12549,rxn12680,rxn29120	gnl|TC-DB|Q51955|2.A.1.15.1	23.343	1.24e-06	45.8	77	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	73	384	transporter
gnl|TC-DB|Q51955|2.A.1.15.1	2.A.1.15.1	acetate	EX_cpd00029_e0	rxn05488,rxn08061,rxn08062,rxn30452	gnl|TC-DB|Q51955|2.A.1.15.1	23.343	1.24e-06	45.8	77	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	73	384	transporter
gnl|TC-DB|Q51955|2.A.1.15.1	2.A.1.15.1	benzoate	EX_cpd00153_e0	rxn12435	gnl|TC-DB|Q51955|2.A.1.15.1	23.343	1.24e-06	45.8	77	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	73	384	transporter
gnl|TC-DB|Q51955|2.A.1.15.1	2.A.1.15.1	spermidine	EX_cpd00264_e0	rxn05652,rxn09660,rxn29135,rxn34532,rxn34533,rxn11262	gnl|TC-DB|Q51955|2.A.1.15.1	23.343	1.24e-06	45.8	77	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	73	384	transporter
gnl|TC-DB|H5X1B8|2.A.1.21.21	2.A.1.21.21	Arabinose	EX_cpd00185_e0	rxn12574	gnl|TC-DB|H5X1B8|2.A.1.21.21	23.324	2.01e-06	45.1	83	WP_011225463.1 MFS transporter [Streptococcus thermophilus]	58	385	transporter
gnl|TC-DB|H5X1B8|2.A.1.21.21	2.A.1.21.21	Arabinose	EX_cpd00224_e0	rxn05500,rxn08140,rxn08141	gnl|TC-DB|H5X1B8|2.A.1.21.21	23.324	2.01e-06	45.1	83	WP_011225463.1 MFS transporter [Streptococcus thermophilus]	58	385	transporter
gnl|TC-DB|Q797E3|2.A.1.2.25	2.A.1.2.25	adenosine	EX_cpd00182_e0	rxn05318,rxn08068,rxn12381	gnl|TC-DB|Q797E3|2.A.1.2.25	25.309	2.26e-07	48.1	78	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	54	367	transporter
gnl|TC-DB|Q797E3|2.A.1.2.25	2.A.1.2.25	guanosine	EX_cpd00311_e0	rxn05204,rxn08671,rxn09747,rxn12427,rxn28613	gnl|TC-DB|Q797E3|2.A.1.2.25	25.309	2.26e-07	48.1	78	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	54	367	transporter
gnl|TC-DB|Q797E3|2.A.1.2.25	2.A.1.2.25	inosine	EX_cpd00246_e0	rxn05316,rxn08753,rxn12445,rxn28604	gnl|TC-DB|Q797E3|2.A.1.2.25	25.309	2.26e-07	48.1	78	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	54	367	transporter
gnl|TC-DB|Q797E3|2.A.1.2.25	2.A.1.2.25	phosphate	EX_cpd00009_e0	rxn05210,rxn05312,rxn05313,rxn09120,rxn09723,rxn09811,rxn09833,rxn09872,rxn12450,rxn34261,rxn34397,rxn34522	gnl|TC-DB|Q797E3|2.A.1.2.25	25.309	2.26e-07	48.1	78	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	54	367	transporter
gnl|TC-DB|B0SHL1|2.A.123.2.6	2.A.123.2.6	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|B0SHL1|2.A.123.2.6	26.087	0.051	26.6	75	WP_084828938.1 SemiSWEET family transporter [Streptococcus thermophilus]	11	76	transporter
gnl|TC-DB|Q2FZP8|2.A.1.2.44	2.A.1.2.44	glycerol	EX_cpd00100_e0	rxn12529,rxn34380	gnl|TC-DB|Q2FZP8|2.A.1.2.44	20.795	0.19	29.3	77	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	54	364	transporter
gnl|TC-DB|P39843|2.A.1.2.8	2.A.1.2.8	chloride	EX_cpd00099_e0	rxn08233,rxn30474	gnl|TC-DB|P39843|2.A.1.2.8	23.256	9.71e-17	77.0	83	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	31	364	transporter
gnl|TC-DB|P39843|2.A.1.2.8	2.A.1.2.8	phenylacetate	EX_cpd00489_e0	rxn10559,rxn30233,rxn30234	gnl|TC-DB|P39843|2.A.1.2.8	23.256	9.71e-17	77.0	83	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	31	364	transporter
gnl|TC-DB|P39843|2.A.1.2.8	2.A.1.2.8	spermidine	EX_cpd00264_e0	rxn05652,rxn09660,rxn29135,rxn34532,rxn34533,rxn11262	gnl|TC-DB|P39843|2.A.1.2.8	23.256	9.71e-17	77.0	83	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	31	364	transporter
gnl|TC-DB|O22008|2.A.129.1.1	2.A.129.1.1	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|O22008|2.A.129.1.1	27.338	0.020	28.9	95	WP_002951076.1 GtrA family protein [Streptococcus thermophilus]	15	145	transporter
gnl|TC-DB|SHH76803.1|2.A.129.1.8	2.A.129.1.8	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|SHH76803.1|2.A.129.1.8	34.783	1.33e-10	52.4	85	WP_002951076.1 GtrA family protein [Streptococcus thermophilus]	12	145	transporter
gnl|TC-DB|L8FFP2|2.A.1.2.95	2.A.1.2.95	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|L8FFP2|2.A.1.2.95	18.801	1.56e-06	45.4	85	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	29	390	transporter
UniRef90_A0A0M3RTM4|2.A.14.1.3	2.A.14.1.3	(R)-lactate	EX_cpd00221_e0	rxn08350,rxn09772,rxn10171,rxn12366	UniRef90_A0A0M3RTM4|2.A.14.1.3	100.000	0.0	577	100	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	1	287	transporter
UniRef90_A0A0M3RTM4|2.A.14.1.3	2.A.14.1.3	(S)-lactate	EX_cpd00159_e0	rxn05602,rxn08794,rxn10818,rxn12365,rxn13334	UniRef90_A0A0M3RTM4|2.A.14.1.3	100.000	0.0	577	100	WP_002951781.1 aquaporin family protein [Streptococcus thermophilus]	1	287	transporter
gnl|TC-DB|A1RW34|2.A.1.66.1	2.A.1.66.1	galactose	EX_cpd00108_e0	rxn05566,rxn08584,rxn34374	gnl|TC-DB|A1RW34|2.A.1.66.1	23.446	1.19e-04	39.7	80	WP_084825862.1 multidrug efflux MFS transporter [Streptococcus thermophilus]	38	363	transporter
gnl|TC-DB|C4IKV8|2.A.16.6.2	2.A.16.6.2	malic acid	EX_cpd00130_e0	rxn05207,rxn05605,rxn08865,rxn08866,rxn10153,rxn10156,rxn12446,rxn34241,rxn34242	gnl|TC-DB|C4IKV8|2.A.16.6.2	25.746	1.61e-04	38.5	81	WP_014621374.1 ethanolamine utilization protein EutJ [Streptococcus thermophilus]	52	298	transporter
gnl|TC-DB|Q04DP6|2.A.1.68.1	2.A.1.68.1	glucose	EX_cpd00027_e0	rxn05573,rxn08616,rxn09679,rxn09875,rxn08617	gnl|TC-DB|Q04DP6|2.A.1.68.1	28.274	4.83e-31	118	83	WP_100273463.1 MFS transporter [Streptococcus thermophilus]	24	353	transporter
